
"Day 3 · Day 3 · Week 22 · Hyrox Training · Deload","2024-10-31 4:47 pm","1:05 hr"
#,KG,REPS
1,45,6
2,45,6
3,45,5
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+25,8
2,+25,7
3,+25,6

"Day 2 · Day 1 · Week 14 · Hyrox Training · Deload","2024-09-02 4:37 pm","1:01 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,10
3,+0,7
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,80,8
2,80,7
3,70,10
"3. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,8
2,12.5,7
3,10,10
"4. Running on Treadmill · Machine · 30 min"
#,KM,MINS
1,3.5,17:45

"Day 2 · Day 1 · Week 12 · Hyrox Training · Deload","2024-08-30 5:13 pm","44 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,9
3,+0,6
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,80,8
2,80,6
3,70,10
"3. Preacher Curls · EZ bar · 10 reps"
#,KG,REPS
1,35,9
2,35,6
3,30,8
"4. Cycling on Stationary Bike · Machine · 30 min"
#,KM,MINS
1,5,10:06

"Day 1 · Day 2 · Week 13 · Hyrox Training · Deload","2024-08-28 4:17 pm","1:16 hr"
"1. Bench Press · Barbell · 6 reps"
#,KG,REPS
1,90,7
2,90,5
3,80,7
"2. Seated Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,22.5,7
2,22.5,6
3,22.5,7
"3. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,53,8
2,46,10
3,46,8
"4. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,28.75,12
2,28.75,6
3,25,10
"5. Cycling on Stationary Bike · Machine · 20 min"
#,KM,MINS
1,10,20:48

"Day 1 · Day 2 · Week 12 · Hyrox Training · Deload","2024-08-19 4:25 pm","1:26 hr"
"1. Bench Press · Barbell · 6 reps"
#,KG,REPS
1,90,7
2,90,5
3,80,9
"2. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+25,9
2,+25,8
3,+0,20
"3. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,53,10
2,46,10
3,46,8
"4. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,28.75,12
2,28.75,10

"Day 2 · Day 1 · Week 11 · Hyrox Training · Deload","2024-08-18 1:02 pm","1:04 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,14
2,+0,10
3,+0,7
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,80,8
2,80,6
3,70,10
"3. Behind-the-Back Curls · Cable · 10 reps · Superset 1"
#,KG,REPS
1,12.5,8
2,12.5,8
3,10,11
"4. Shrugs · Cable · 10 reps · Superset 2"
#,KG,REPS
1,47.5,15
2,47.5,15
3,47.5,15
"5. Cycling on Stationary Bike · Machine · 30 min"
#,KM,MINS
1,10,21:13

"Day 1 · Day 2 · Week 11 · Hyrox Training · Deload","2024-08-16 5:32 pm","1:20 hr"
"1. Bench Press · Dumbbells · 6 reps"
#,KG,REPS
1,37.5,7
2,37.5,6
3,35,6
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,45,7
2,45,7
3,45,5
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+25,11
2,+25,7
3,+0,20
"4. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,53,10
2,46,10
3,46,8
"5. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,28.75,10
2,28.75,10
3,25,10

"Day 5 · Day 4 · Week 11 · Hyrox Training · Deload","2024-08-15 4:52 pm","1:24 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,9
3,+0,7
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,80,8
2,80,6
3,70,9
"3. Behind-the-Back Curls · Cable · 10 reps · Superset 1"
#,KG,REPS
1,12.5,8
2,12.5,8
3,10,10
"4. Shrugs · Cable · 10 reps · Superset 2"
#,KG,REPS
1,47.5,14
2,47.5,14
3,47.5,13
"5. Decline Crunches · Bodyweight · 10 reps · Superset 1"
#,KG,REPS
1,+20,20
2,+20,15
3,+20,15
"6. Leg Raises · Bodyweight · 10 reps · Superset 2"
#,KG,REPS
1,+0,15
2,+0,15
3,+0,15
"7. Russian Twists · Bodyweight · 10 reps · Superset 3"
#,KG,REPS
1,+12,20
2,+12,20
3,+12,20
"8. Side Bends · Kettlebells · 10 reps · Superset 4"
#,KG,REPS
1,24,10
2,24,10
3,24,12
"9. Cycling on Stationary Bike · Machine · 3 cm"
#,KM,MINS
1,8,18

"Day 3 · Day 3 · Week 11 · Hyrox Training · Deload","2024-08-14 4:43 pm","1:09 hr"
"1. Squats · Barbell · 10 reps"
#,KG,REPS
1,110,8
2,110,8
3,110,6
"2. Deadlifts · Barbell · 10 reps"
#,KG,REPS
1,110,5
2,110,7
